"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\DFA\DFA.cpp", "C++", 265, 40, 63, 368
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\DFA\DFA.hpp", "C++", 41, 0, 8, 49
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\codeGenarator\codeGen.cpp", "C++", 769, 10, 167, 946
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\codeGenarator\codeGen.hpp", "C++", 83, 0, 25, 108
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\codeGenarator\lableManager\lableManager.cpp", "C++", 25, 0, 8, 33
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\codeGenarator\lableManager\lableManager.hpp", "C++", 18, 0, 5, 23
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\codeGenarator\scratch\scratch.cpp", "C++", 94, 7, 19, 120
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\codeGenarator\scratch\scratch.hpp", "C++", 27, 0, 6, 33
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\errorHandler\errorHandler.cpp", "C++", 16, 0, 3, 19
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\errorHandler\errorHandler.hpp", "C++", 17, 0, 9, 26
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\errors\errors.hpp", "C++", 62, 0, 21, 83
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\lexer\lexer.cpp", "C++", 149, 10, 31, 190
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\lexer\lexer.hpp", "C++", 36, 0, 10, 46
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\main\main.cpp", "C++", 61, 0, 16, 77
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\nodes\nodeAnalyzer\nodeAnalyzer.cpp", "C++", 164, 0, 40, 204
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\nodes\nodeAnalyzer\nodeAnalyzer.hpp", "C++", 14, 0, 3, 17
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\nodes\nodes.cpp", "C++", 85, 2, 26, 113
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\nodes\nodes.hpp", "C++", 66, 0, 18, 84
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\grammerSymbol\grammerSymbol.cpp", "C++", 51, 0, 5, 56
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\grammerSymbol\grammerSymbol.hpp", "C++", 52, 0, 7, 59
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\initParserFunctions.cpp", "C++", 1652, 302, 304, 2258
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\parseTable\actionTable\actionTable.cpp", "C++", 74, 0, 15, 89
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\parseTable\actionTable\actionTable.hpp", "C++", 19, 0, 5, 24
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\parseTable\action\action.cpp", "C++", 24, 0, 2, 26
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\parseTable\action\action.hpp", "C++", 19, 0, 4, 23
"c:\Users\Admin\Documents\Coding\The-Easy-Compiller\src\parser\parseTable\gotoTable\gotoTable.cpp", "C++", 47, 2, 7, 56
